ENSEMBL	SYMBOL	TYPE	S085BE	S089BE	S110BE	S114BE	S117BE	S118BE	S132INBE
ENSG00000164291	ARSK	protein_coding	31	34	20	41	13	30	13
ENSG00000065559	MAP2K4	protein_coding	554	591	894	709	665	737	831
ENSG00000278291	RP11-172H24.4	antisense	2	7	2	15	1	5	3
ENSG00000198464	ZNF480	protein_coding	181	252	278	268	175	259	137
ENSG00000142733	MAP3K6	protein_coding	772	1416	1630	1087	1049	1058	1394
ENSG00000171533	MAP6	protein_coding	34	28	9	33	9	18	4
ENSG00000166924	NYAP1	protein_coding	27	57	43	33	43	26	42
ENSG00000100239	PPP6R2	protein_coding	902	1215	1478	966	1019	1094	925
ENSG00000166797	FAM96A	protein_coding	104	127	149	154	93	149	60
ENSG00000153207	AHCTF1	protein_coding	1033	711	1389	1043	907	1323	777
ENSG00000175455	CCDC14	protein_coding	555	720	786	481	433	692	656
ENSG00000172771	EFCAB12	protein_coding	32	32	21	8	21	18	35
ENSG00000180901	KCTD2	protein_coding	407	585	724	528	526	481	497
ENSG00000276107	CTD-2033D15.2	sense_intronic	62	21	39	33	16	27	32
ENSG00000119508	NR4A3	protein_coding	804	919	312	694	188	576	451
ENSG00000100299	ARSA	protein_coding	264	332	351	384	315	412	284
ENSG00000229230	MT1P3	processed_pseudogene	12	12	7	23	10	18	13
ENSG00000059145	UNKL	protein_coding	857	965	1052	559	946	842	785
ENSG00000265018	AGAP12P	transcribed_unprocessed_pseudogene	35	9	15	4	1	10	6
ENSG00000105072	C19orf44	protein_coding	50	76	82	47	30	49	25
ENSG00000182685	BRICD5	protein_coding	32	54	68	36	10	55	19
ENSG00000143951	WDPCP	protein_coding	54	54	34	38	18	32	23
ENSG00000140157	NIPA2	protein_coding	260	295	490	493	444	532	401
ENSG00000158014	SLC30A2	protein_coding	23	83	317	319	111	117	101
ENSG00000215845	TSTD1	protein_coding	182	238	165	157	173	174	168
ENSG00000147677	EIF3H	protein_coding	717	804	924	814	798	849	828
ENSG00000185127	C6orf120	protein_coding	152	144	235	247	123	231	125
ENSG00000134222	PSRC1	protein_coding	18	37	53	20	47	30	20
ENSG00000276870	PLA2G10	protein_coding	5	9	15	6	18	6	6
ENSG00000143507	DUSP10	protein_coding	395	327	424	366	377	292	642
ENSG00000143106	PSMA5	protein_coding	476	468	663	562	547	576	459
ENSG00000133805	AMPD3	protein_coding	949	887	1629	1525	1847	1855	2019
ENSG00000033800	PIAS1	protein_coding	737	854	975	730	765	896	952
ENSG00000281442	RP11-267J23.4	processed_pseudogene	16	18	18	14	7	14	18
ENSG00000182327	GLTPD2	protein_coding	17	23	12	8	3	8	8
ENSG00000078549	ADCYAP1R1	protein_coding	4	12	8	7	3	33	2
ENSG00000112294	ALDH5A1	protein_coding	56	129	363	111	189	116	276
ENSG00000106692	FKTN	protein_coding	63	108	121	216	33	150	29
ENSG00000234678	RP11-465N4.4	antisense	17	46	89	40	56	54	103
ENSG00000166548	TK2	protein_coding	79	140	297	200	109	167	132
ENSG00000221926	TRIM16	protein_coding	148	204	433	290	348	267	321
ENSG00000117632	STMN1	protein_coding	167	247	192	367	80	174	118
ENSG00000228499	TMSB10P1	processed_pseudogene	14	14	19	15	16	12	21
ENSG00000267691	SHC1P2	processed_pseudogene	13	14	18	25	14	20	18
ENSG00000173947	PIFO	protein_coding	35	38	19	32	17	19	12
ENSG00000186314	PRELID2	protein_coding	16	29	33	51	15	35	45
ENSG00000224152	AC009506.1	antisense	22	23	28	16	13	16	16
ENSG00000197776	KLHDC1	protein_coding	12	28	29	26	7	17	18
ENSG00000141040	ZNF287	protein_coding	21	32	36	34	5	19	11
ENSG00000217027	TPT1P4	processed_pseudogene	23	23	36	29	33	31	51
ENSG00000267470	ZNF571-AS1	antisense	11	9	19	7	3	5	5
ENSG00000281900	AP000350.6	processed_pseudogene	6	9	12	14	6	15	3
ENSG00000198513	ATL1	protein_coding	70	89	58	60	12	57	32
ENSG00000049883	PTCD2	protein_coding	28	59	68	51	20	60	18
ENSG00000206072	SERPINB11	protein_coding	19	47	175	78	147	64	755
ENSG00000177383	MAGEF1	protein_coding	219	350	456	405	350	350	335
ENSG00000182718	ANXA2	protein_coding	1819	1791	2628	1614	1615	1605	2117
ENSG00000162065	TBC1D24	protein_coding	82	90	132	140	46	103	49
ENSG00000076201	PTPN23	protein_coding	1200	1410	1717	1228	1311	1456	901
ENSG00000182749	PAQR7	protein_coding	88	261	508	222	376	207	313
ENSG00000151067	CACNA1C	protein_coding	209	159	370	145	235	166	794
ENSG00000151176	PLBD2	protein_coding	397	501	603	621	298	536	248
ENSG00000222047	C10orf55	protein_coding	103	88	109	92	96	109	176
ENSG00000124006	OBSL1	protein_coding	511	927	589	738	250	495	203
ENSG00000270681	RP11-372K14.2	antisense	12	12	12	8	8	9	20
ENSG00000262823	RP13-580F15.2	antisense	9	21	28	12	11	19	14
ENSG00000113555	PCDH12	protein_coding	152	87	129	68	61	85	76
ENSG00000139437	TCHP	protein_coding	144	239	633	215	321	246	425
ENSG00000104907	TRMT1	protein_coding	682	743	1059	857	611	712	558
ENSG00000205436	EXOC3L4	protein_coding	88	66	85	113	22	116	17
ENSG00000163001	CFAP36	protein_coding	238	320	245	198	146	203	137
ENSG00000267221	ZNF385C	protein_coding	145	127	297	347	166	134	93
ENSG00000137507	LRRC32	protein_coding	544	61	98	163	51	167	112
ENSG00000242252	BGLAP	protein_coding	12	17	25	8	12	20	15
ENSG00000158186	MRAS	protein_coding	94	117	65	137	26	142	24
ENSG00000172785	CBWD1	protein_coding	60	74	87	95	67	79	77
ENSG00000167601	AXL	protein_coding	1239	1398	1223	1725	705	1283	724
ENSG00000064270	ATP2C2	protein_coding	135	82	170	148	200	106	202
ENSG00000100344	PNPLA3	protein_coding	3	11	51	6	3	22	8
ENSG00000213923	CSNK1E	protein_coding	2354	2283	3209	2266	2771	2644	3496
ENSG00000140319	SRP14	protein_coding	507	514	558	574	531	550	562
ENSG00000117013	KCNQ4	protein_coding	23	24	50	32	24	43	13
ENSG00000268061	NAPA-AS1	antisense	14	25	29	19	19	16	36
ENSG00000205482	SPDYE18	unprocessed_pseudogene	2	5	14	1	17	6	7
ENSG00000159873	CCDC117	protein_coding	495	440	568	502	472	597	632
ENSG00000130347	RTN4IP1	protein_coding	14	17	45	30	14	24	7
ENSG00000253954	HMGN1P38	processed_pseudogene	26	31	35	28	27	22	26
ENSG00000092098	RNF31	protein_coding	226	305	451	332	287	357	254
ENSG00000118900	UBN1	protein_coding	1092	1417	2168	1187	1292	1288	1398
ENSG00000149564	ESAM	protein_coding	586	125	270	226	203	224	341
ENSG00000196436	NPIPB15	protein_coding	105	100	152	59	129	3	101
ENSG00000044115	CTNNA1	protein_coding	2398	2608	2979	2521	2898	2687	3073
ENSG00000141582	CBX4	protein_coding	576	642	873	494	852	563	776
ENSG00000170417	TMEM182	protein_coding	5	22	28	18	16	23	12
ENSG00000258315	C17orf49	protein_coding	57	43	45	33	20	47	48
ENSG00000169247	SH3TC2	protein_coding	85	106	1087	275	844	459	1256
ENSG00000101417	PXMP4	protein_coding	18	36	52	32	17	18	18
ENSG00000130770	ATPIF1	protein_coding	223	323	293	244	233	259	242
ENSG00000163625	WDFY3	protein_coding	1121	1480	1957	945	1228	1310	1627
ENSG00000000419	DPM1	protein_coding	197	246	267	264	223	277	241
ENSG00000160360	GPSM1	protein_coding	441	426	771	637	500	592	353
ENSG00000267313	KC6	lincRNA	3	13	13	3	3	0	22
ENSG00000123384	LRP1	protein_coding	1575	3213	4137	1082	4674	1597	5216
ENSG00000154122	ANKH	protein_coding	1425	1573	1168	1075	599	1077	542
ENSG00000155918	RAET1L	protein_coding	55	82	113	138	48	41	103
ENSG00000125630	POLR1B	protein_coding	118	176	381	486	149	349	57
ENSG00000007372	PAX6	protein_coding	19	15	16	10	0	4	3
ENSG00000230916	MTCO1P53	processed_pseudogene	16	17	33	22	16	20	31
ENSG00000087095	NLK	protein_coding	197	139	279	231	169	267	219
ENSG00000078808	SDF4	protein_coding	1072	1243	1220	1105	1051	1133	977
ENSG00000198542	ITGBL1	protein_coding	18	12	12	7	1	10	1
ENSG00000232326	TAP2	protein_coding	825	665	892	820	692	821	560
ENSG00000119541	VPS4B	protein_coding	294	421	726	466	641	611	716
ENSG00000139629	GALNT6	protein_coding	144	118	393	246	134	135	274
ENSG00000080546	SESN1	protein_coding	307	401	363	259	190	314	262
ENSG00000074054	CLASP1	protein_coding	1454	1899	1930	1176	1768	1309	1772
ENSG00000138670	RASGEF1B	protein_coding	444	379	598	321	611	453	954
ENSG00000196526	AFAP1	protein_coding	1080	882	876	924	469	1017	463
ENSG00000228839	PIK3IP1-AS1	antisense	10	14	18	13	12	12	26
ENSG00000112941	PAPD7	protein_coding	1034	1094	1236	806	802	1002	1020
ENSG00000166479	TMX3	protein_coding	224	307	430	407	261	450	208
ENSG00000134874	DZIP1	protein_coding	158	154	66	67	16	88	17
ENSG00000118518	RNF146	protein_coding	285	352	432	305	319	414	335
ENSG00000167034	NKX3-1	protein_coding	721	521	516	655	227	566	332
ENSG00000161671	EMC10	protein_coding	466	563	637	516	378	490	423
ENSG00000133316	WDR74	protein_coding	385	515	548	482	263	370	262
ENSG00000214282	KRT8P14	processed_pseudogene	9	12	16	10	10	8	19
ENSG00000185129	PURA	protein_coding	393	555	628	420	450	636	360
ENSG00000256609	RP11-64B16.4	antisense	5	4	9	5	4	4	27
ENSG00000174428	GTF2IRD2B	protein_coding	18	35	45	36	19	35	52
ENSG00000271754	RP3-337H4.9	antisense	11	16	27	7	2	10	6
ENSG00000067141	NEO1	protein_coding	758	953	1187	777	356	665	479
ENSG00000215571	GRK6P1	processed_pseudogene	16	41	15	16	11	23	17
ENSG00000131981	LGALS3	protein_coding	994	1129	1200	884	1126	1129	1290
ENSG00000016864	GLT8D1	protein_coding	242	298	367	355	275	271	219
ENSG00000257446	ZNF878	protein_coding	10	8	23	9	9	9	19
ENSG00000274265	CH17-189H20.1	lincRNA	19	16	4	86	0	26	2
ENSG00000257354	RP11-631N16.2	lincRNA	54	66	99	38	66	71	51
ENSG00000064726	BTBD1	protein_coding	427	563	638	583	571	612	445
ENSG00000225989	ABCF1	protein_coding	936	1043	1418	1232	970	1176	584
ENSG00000131381	RBSN	protein_coding	491	561	814	435	617	642	461
ENSG00000119616	FCF1	protein_coding	160	218	323	277	202	287	141
ENSG00000157193	LRP8	protein_coding	442	453	1537	934	1069	1094	683
ENSG00000144834	TAGLN3	protein_coding	28	10	7	8	6	2	10
ENSG00000203760	CENPW	protein_coding	110	142	112	68	177	131	84
ENSG00000173276	ZBTB21	protein_coding	943	927	869	818	707	905	845
ENSG00000099260	PALMD	protein_coding	84	63	107	57	26	55	38
ENSG00000114999	TTL	protein_coding	309	231	298	369	82	292	98
ENSG00000173757	STAT5B	protein_coding	923	919	1091	809	645	879	798
ENSG00000131871	VIMP	protein_coding	480	472	622	629	505	623	496
ENSG00000138385	SSB	protein_coding	368	434	459	494	303	440	257
ENSG00000214193	SH3D21	protein_coding	317	445	649	332	371	394	378
ENSG00000111254	AKAP3	protein_coding	13	37	17	24	5	15	21
ENSG00000265354	TIMM23	protein_coding	189	250	329	371	256	273	170
ENSG00000263160	TMEM50B	protein_coding	356	330	339	337	263	464	300
ENSG00000230626	RP11-286H14.4	protein_coding	15	11	18	17	12	25	22
ENSG00000168077	SCARA3	protein_coding	242	623	863	560	516	482	453
ENSG00000105552	BCAT2	protein_coding	186	398	590	350	603	291	541
ENSG00000279179	RP11-131M11.3	TEC	4	10	31	1	6	11	13
ENSG00000171109	MFN1	protein_coding	294	387	807	384	480	638	482
ENSG00000185737	NRG3	protein_coding	0	2	48	32	1	6	5
ENSG00000054690	PLEKHH1	protein_coding	190	289	700	198	268	292	477
ENSG00000259032	ENSAP2	processed_pseudogene	16	27	33	28	25	20	20
ENSG00000026036	RTEL1-TNFRSF6B	protein_coding	45	65	55	32	19	52	22
ENSG00000188396	TCTEX1D4	protein_coding	10	10	19	2	8	9	20
ENSG00000272711	RP11-259N19.1	lincRNA	4	4	13	25	7	7	1
ENSG00000118200	CAMSAP2	protein_coding	874	981	1339	865	1053	1166	1024
ENSG00000173991	TCAP	protein_coding	41	45	109	21	71	51	77
ENSG00000111727	HCFC2	protein_coding	45	39	51	46	14	53	23
ENSG00000119328	FAM206A	protein_coding	116	162	192	162	189	174	129
ENSG00000075643	MOCOS	protein_coding	38	79	183	122	141	188	64
ENSG00000170325	PRDM10	protein_coding	524	458	1033	397	752	643	839
ENSG00000168679	SLC16A4	protein_coding	36	48	40	33	29	46	108
ENSG00000235513	RP4-756G23.5	antisense	8	9	18	3	8	12	9
ENSG00000167173	C15orf39	protein_coding	486	932	1359	810	1139	844	1144
ENSG00000111879	FAM184A	protein_coding	39	66	67	25	11	10	37
ENSG00000139625	MAP3K12	protein_coding	211	229	294	104	194	190	211
ENSG00000175575	PAAF1	protein_coding	48	122	144	103	44	98	49
ENSG00000197181	PIWIL2	protein_coding	33	61	97	34	28	62	30
ENSG00000131018	SYNE1	protein_coding	326	258	539	249	160	386	203
ENSG00000183723	CMTM4	protein_coding	1318	1700	2169	1656	1538	1733	1605
ENSG00000189241	TSPYL1	protein_coding	614	695	813	713	604	697	660
ENSG00000151806	GUF1	protein_coding	150	201	351	289	167	294	117
ENSG00000214215	C12orf74	protein_coding	7	15	22	8	14	14	16
ENSG00000270765	GAS2L2	protein_coding	1	8	18	4	14	11	7
ENSG00000196967	ZNF585A	protein_coding	103	209	208	91	104	146	124
ENSG00000226525	RPS7P10	processed_pseudogene	6	7	19	12	11	4	17
ENSG00000155850	SLC26A2	protein_coding	89	217	123	165	50	90	33
ENSG00000114982	KANSL3	protein_coding	1365	1765	1802	1410	1229	1492	1347
ENSG00000124209	RAB22A	protein_coding	502	491	802	587	763	810	778
ENSG00000120948	TARDBP	protein_coding	629	659	820	733	675	822	615
ENSG00000236739	CLIC4P1	processed_pseudogene	33	28	25	23	31	34	23
ENSG00000124214	STAU1	protein_coding	1350	1463	1892	1481	1728	1639	1805
ENSG00000170949	ZNF160	protein_coding	1066	1154	1357	634	893	887	1384
ENSG00000145103	ILDR1	protein_coding	99	194	182	124	241	201	99
ENSG00000110446	SLC15A3	protein_coding	122	74	131	112	51	138	58
ENSG00000133961	NUMB	protein_coding	979	1033	1415	986	1221	1103	1358
ENSG00000145901	TNIP1	protein_coding	2158	2123	2621	2143	2419	2299	2589
ENSG00000159792	PSKH1	protein_coding	199	410	496	410	199	328	152
ENSG00000177105	RHOG	protein_coding	427	450	577	556	520	482	539
ENSG00000171302	CANT1	protein_coding	634	682	960	886	652	831	627
ENSG00000236809	SNX25P1	unprocessed_pseudogene	7	11	7	8	4	19	9
ENSG00000068097	HEATR6	protein_coding	149	199	356	243	93	194	81
ENSG00000124813	RUNX2	protein_coding	888	1283	1238	732	954	819	956
ENSG00000157734	SNX22	protein_coding	62	37	69	47	26	61	68
ENSG00000076770	MBNL3	protein_coding	45	92	142	88	67	113	69
ENSG00000240370	U47924.6	transcribed_processed_pseudogene	31	32	41	29	23	10	25
ENSG00000170425	ADORA2B	protein_coding	390	495	408	415	355	401	229
ENSG00000280540	LINC01480	lincRNA	8	1	13	4	0	3	17
ENSG00000213463	SYNJ2BP	protein_coding	248	307	463	259	335	356	272
ENSG00000177084	POLE	protein_coding	540	744	1033	596	456	681	562
ENSG00000282899	E2F2	protein_coding	69	150	383	39	194	27	302
ENSG00000259381	RP11-192M23.1	processed_pseudogene	9	2	6	6	9	6	26
ENSG00000130787	HIP1R	protein_coding	1175	1709	2292	1272	1857	1507	2251
ENSG00000269896	RP4-740C4.5	transcribed_processed_pseudogene	20	15	13	13	7	13	8
ENSG00000108515	ENO3	protein_coding	125	177	153	231	61	85	134
ENSG00000127774	EMC6	protein_coding	15	22	23	29	21	16	17
ENSG00000140543	DET1	protein_coding	41	62	96	69	22	70	38
ENSG00000125249	RAP2A	protein_coding	194	188	209	240	122	261	151
ENSG00000213145	CRIP1	protein_coding	8	24	17	9	10	6	10
ENSG00000155096	AZIN1	protein_coding	1099	1190	1341	1496	1201	1527	1392
ENSG00000182165	TP53TG1	lincRNA	31	69	83	32	54	40	73
ENSG00000282233	RP13-39P12.3	antisense	21	26	33	14	19	22	37
ENSG00000282481	CTD-2336O2.1	antisense	31	47	45	25	26	24	37
ENSG00000179604	CDC42EP4	protein_coding	1090	1537	1672	1173	1426	1237	1486
ENSG00000180694	TMEM64	protein_coding	134	167	182	269	48	181	72
ENSG00000081181	ARG2	protein_coding	239	312	453	341	342	322	443
ENSG00000238082	AC009948.7	processed_pseudogene	25	27	44	30	20	26	24
ENSG00000145777	TSLP	protein_coding	156	40	32	83	7	307	22
ENSG00000079215	SLC1A3	protein_coding	249	450	453	432	220	528	209
ENSG00000106635	BCL7B	protein_coding	487	584	690	538	535	546	501
ENSG00000225217	HSPA7	unprocessed_pseudogene	26	66	22	41	93	71	270
ENSG00000166321	NUDT13	protein_coding	18	17	54	13	10	25	44
ENSG00000198417	MT1F	protein_coding	96	69	44	125	18	34	32
ENSG00000182196	ARL6IP4	protein_coding	26	24	25	15	14	14	14
ENSG00000187860	CCDC157	protein_coding	8	42	23	16	12	14	9
ENSG00000197562	RAB40C	protein_coding	446	809	804	534	462	525	355
ENSG00000278666	RP11-423H2.1	transcribed_unprocessed_pseudogene	9	49	33	93	69	38	61
ENSG00000168887	C2orf68	protein_coding	263	434	558	384	312	472	354
ENSG00000254810	RP11-672A2.4	lincRNA	16	5	0	2	2	5	5
ENSG00000150510	FAM124A	protein_coding	99	84	47	75	11	42	9
ENSG00000105270	CLIP3	protein_coding	97	53	31	74	14	53	20
ENSG00000224594	RPL29P19	processed_pseudogene	28	28	15	25	4	5	27
ENSG00000279089	RP11-481C4.2	TEC	57	46	42	27	36	54	25
ENSG00000175445	LPL	protein_coding	15	35	9	48	1	92	5
ENSG00000069493	CLEC2D	protein_coding	58	129	84	52	48	71	48
ENSG00000130021	PUDP	protein_coding	59	127	180	165	83	138	102
ENSG00000234488	AC096664.1	processed_pseudogene	8	8	10	10	7	4	16
ENSG00000005238	FAM214B	protein_coding	246	317	760	311	667	378	919
ENSG00000145715	RASA1	protein_coding	354	513	666	379	492	544	453
ENSG00000164776	PHKG1	protein_coding	96	112	174	52	86	107	111
ENSG00000133731	IMPA1	protein_coding	145	142	279	189	345	297	262
ENSG00000257195	HNRNPA1P50	processed_pseudogene	1	16	5	0	20	0	1
ENSG00000107833	NPM3	protein_coding	187	209	261	284	160	201	135
ENSG00000118849	RARRES1	protein_coding	728	838	924	942	692	1099	458
ENSG00000277033	B3GNTL1	protein_coding	49	41	66	78	33	57	40
ENSG00000087448	KLHL42	protein_coding	155	280	288	286	147	299	65
ENSG00000167487	KLHL26	protein_coding	141	234	275	175	148	193	133
ENSG00000182963	GJC1	protein_coding	53	39	22	30	23	193	46
ENSG00000088854	C20orf194	protein_coding	283	382	400	296	235	254	224
ENSG00000171236	LRG1	protein_coding	225	404	251	215	199	299	342
ENSG00000204282	TNRC6C-AS1	processed_transcript	101	168	175	82	40	105	147
ENSG00000183853	KIRREL	protein_coding	882	1043	645	828	273	962	183
ENSG00000145675	PIK3R1	protein_coding	261	534	507	391	191	380	225
ENSG00000268222	EEF1A1P7	processed_pseudogene	9	12	23	6	18	5	20
ENSG00000129467	ADCY4	protein_coding	344	91	60	118	68	151	83
ENSG00000122515	ZMIZ2	protein_coding	1522	1962	2339	1547	1432	2046	1647
ENSG00000124356	STAMBP	protein_coding	408	549	967	626	556	667	605
ENSG00000164967	RPP25L	protein_coding	78	165	191	209	149	138	135
ENSG00000141294	LRRC46	protein_coding	19	9	41	5	18	5	7
ENSG00000166006	KCNC2	protein_coding	79	53	8	15	2	4	0
ENSG00000279233	RP11-158L12.4	TEC	44	26	87	17	39	53	56
ENSG00000172830	SSH3	protein_coding	641	1188	1432	972	1228	1076	1195
ENSG00000176293	ZNF135	protein_coding	21	54	85	75	18	64	47
ENSG00000183287	CCBE1	protein_coding	20	21	11	36	4	16	7
ENSG00000269765	CTB-187L3.1	unprocessed_pseudogene	13	14	19	14	18	15	22
ENSG00000217889	KRT18P48	processed_pseudogene	8	14	8	10	14	1	1
ENSG00000187164	SHTN1	protein_coding	166	179	173	301	76	225	70
ENSG00000240489	SETP14	processed_pseudogene	22	25	63	31	27	22	55
ENSG00000100528	CNIH1	protein_coding	280	327	376	420	274	387	233
ENSG00000143674	RP5-862P8.2	protein_coding	240	415	483	325	270	398	229
ENSG00000154447	SH3RF1	protein_coding	553	596	889	608	606	856	706
ENSG00000247556	OIP5-AS1	processed_transcript	676	977	1342	963	733	1156	856
ENSG00000167674	CTB-50L17.10	protein_coding	350	479	544	407	284	298	343
ENSG00000112218	GPR63	protein_coding	15	10	11	8	4	25	4
ENSG00000071282	LMCD1	protein_coding	272	225	213	226	48	304	133
ENSG00000183773	AIFM3	protein_coding	14	22	27	6	14	11	13
ENSG00000135596	MICAL1	protein_coding	345	462	487	468	187	683	242
ENSG00000117475	BLZF1	protein_coding	196	289	495	290	404	351	706
ENSG00000133872	SARAF	protein_coding	776	873	880	727	670	837	773
ENSG00000232284	GNG12-AS1	antisense	29	45	53	27	27	34	31
ENSG00000240184	PCDHGC3	protein_coding	427	738	580	408	315	470	327
ENSG00000230870	FBXW11P1	processed_pseudogene	16	13	22	15	18	22	19
ENSG00000019169	MARCO	protein_coding	11	3	19	17	9	24	8
ENSG00000101126	ADNP	protein_coding	1219	1400	1941	1448	1518	1468	1660
ENSG00000258461	RP11-164J13.1	processed_transcript	29	38	74	17	23	26	73
ENSG00000111962	UST	protein_coding	265	471	419	305	219	356	157
ENSG00000092871	RFFL	protein_coding	266	270	574	376	473	356	626
ENSG00000163293	NIPAL1	protein_coding	117	144	598	318	389	414	627
ENSG00000011132	APBA3	protein_coding	568	624	788	563	615	680	612
ENSG00000156853	ZNF689	protein_coding	172	192	265	228	93	175	76
ENSG00000064933	PMS1	protein_coding	89	110	133	166	34	124	31
ENSG00000236136	ADORA2BP1	processed_pseudogene	8	10	34	1	11	5	18
ENSG00000071082	RPL31	protein_coding	473	497	765	534	516	578	695
ENSG00000135457	TFCP2	protein_coding	290	413	655	395	296	430	330
ENSG00000136240	KDELR2	protein_coding	873	816	991	999	1030	1045	927
ENSG00000233098	CCDC144NL-AS1	antisense	8	31	4	11	6	2	0
ENSG00000171827	ZNF570	protein_coding	55	74	98	46	34	64	18
ENSG00000128228	SDF2L1	protein_coding	134	106	221	284	156	219	138
ENSG00000124795	DEK	protein_coding	737	827	774	774	739	871	630
ENSG00000121390	PSPC1	protein_coding	371	415	571	465	499	426	571
ENSG00000205609	EIF3CL	protein_coding	112	9	118	95	110	92	65
ENSG00000271971	CTD-2006H14.2	antisense	14	8	10	7	5	13	9
ENSG00000237190	CDKN2AIPNL	protein_coding	36	72	83	103	25	51	34
ENSG00000198369	SPRED2	protein_coding	926	961	1105	1047	913	925	968
ENSG00000154217	PITPNC1	protein_coding	563	557	657	631	384	588	546
ENSG00000154451	GBP5	protein_coding	166	62	300	134	185	377	114
ENSG00000111912	NCOA7	protein_coding	1767	1598	1472	1665	1439	1680	1124
ENSG00000177989	ODF3B	protein_coding	676	754	679	682	546	813	396
ENSG00000172932	ANKRD13D	protein_coding	472	690	1106	576	649	685	830
ENSG00000201512	SNORA71C	snoRNA	12	11	23	3	12	14	3
ENSG00000176920	FUT2	protein_coding	16	197	341	87	491	80	228
ENSG00000143869	GDF7	protein_coding	79	219	679	60	55	55	652
ENSG00000174804	FZD4	protein_coding	226	75	98	145	45	164	55
ENSG00000189089	RIMKLBP1	processed_pseudogene	17	13	19	14	21	21	23
ENSG00000133619	KRBA1	protein_coding	178	224	235	189	59	159	78
ENSG00000260027	HOXB7	protein_coding	17	6	9	5	16	0	4
ENSG00000279716	AC006128.2	TEC	98	139	109	65	53	103	68
ENSG00000200087	SNORA73B	snoRNA	18	21	39	37	31	32	62
ENSG00000165792	METTL17	protein_coding	284	479	817	357	681	288	613
ENSG00000105576	TNPO2	protein_coding	1121	1210	1489	1267	920	1167	861
ENSG00000213928	IRF9	protein_coding	170	156	308	142	258	285	375
ENSG00000147316	MCPH1	protein_coding	247	300	400	265	257	284	263
ENSG00000220517	ASS1P1	processed_pseudogene	15	25	53	20	21	32	52
ENSG00000176658	MYO1D	protein_coding	1048	1390	1754	1450	1292	1437	1908
ENSG00000182253	SYNM	protein_coding	171	138	71	49	31	234	59
ENSG00000144647	POMGNT2	protein_coding	46	84	161	117	52	63	52
ENSG00000188064	WNT7B	protein_coding	819	989	1305	1062	1712	1174	919
ENSG00000185917	SETD4	protein_coding	168	233	345	203	164	242	202
ENSG00000187231	SESTD1	protein_coding	854	1324	2019	1142	2031	2336	2037
ENSG00000105193	RPS16	protein_coding	882	828	1195	898	885	833	1180
ENSG00000237672	KRR1P1	processed_pseudogene	7	19	26	11	10	13	25
ENSG00000123989	CHPF	protein_coding	719	1026	882	1075	748	989	528
ENSG00000101266	CSNK2A1	protein_coding	1178	1314	1632	1340	1593	1466	1481
ENSG00000188846	RPL14	protein_coding	802	832	1157	975	852	932	954
ENSG00000168701	TMEM208	protein_coding	185	226	314	318	287	303	238
ENSG00000114626	ABTB1	protein_coding	651	944	833	615	801	831	501
ENSG00000162980	ARL5A	protein_coding	118	154	151	153	139	185	101
ENSG00000146587	RBAK	protein_coding	264	327	475	264	329	383	325
ENSG00000113790	EHHADH	protein_coding	60	72	121	63	47	78	26
ENSG00000055609	KMT2C	protein_coding	2110	2475	3766	1360	2426	2250	3327
ENSG00000082781	ITGB5	protein_coding	1001	1061	1341	1296	652	1092	785
ENSG00000137207	YIPF3	protein_coding	633	801	907	754	830	755	787
ENSG00000278061	MT2P1	processed_pseudogene	31	34	33	39	23	35	31
ENSG00000025708	TYMP	protein_coding	1027	1001	1228	1208	1043	1290	1033
ENSG00000173486	FKBP2	protein_coding	335	365	495	375	357	310	366
ENSG00000258498	DIO3OS	lincRNA	175	169	40	134	13	290	6
ENSG00000126368	NR1D1	protein_coding	1293	1436	1673	969	1342	1196	1704
ENSG00000226137	BAIAP2-AS1	lincRNA	88	101	111	88	47	67	65
ENSG00000184319	RPL23AP82	transcribed_unprocessed_pseudogene	22	13	73	17	50	7	99
ENSG00000233757	AC092835.2	protein_coding	5	10	20	5	6	15	8
ENSG00000128609	NDUFA5	protein_coding	118	180	191	142	157	155	152
ENSG00000272221	XXbac-BPG181B23.7	lincRNA	21	57	13	38	18	35	40
ENSG00000168152	THAP9	protein_coding	76	91	81	80	50	78	118
ENSG00000065600	TMEM206	protein_coding	74	52	139	129	103	105	117
ENSG00000151748	SAV1	protein_coding	888	812	888	815	556	864	513
ENSG00000130066	SAT1	protein_coding	1884	1922	1925	1973	1743	1901	1841
ENSG00000136378	ADAMTS7	protein_coding	312	94	131	77	201	190	225
ENSG00000175155	YPEL2	protein_coding	803	723	1053	548	875	911	998
ENSG00000153250	RBMS1	protein_coding	781	924	1184	853	984	1262	1324
ENSG00000182405	PGBD4	protein_coding	32	40	53	47	26	48	34
ENSG00000265656	RP11-13N13.6	antisense	4	5	15	3	5	6	21
ENSG00000129993	CBFA2T3	protein_coding	93	197	103	117	79	95	79
ENSG00000168434	COG7	protein_coding	471	622	803	389	644	485	602
ENSG00000130827	PLXNA3	protein_coding	1277	1618	1835	815	952	1274	868
ENSG00000155229	MMS19	protein_coding	820	984	1209	947	621	921	551
ENSG00000111666	CHPT1	protein_coding	222	440	282	520	156	407	95
ENSG00000141564	RPTOR	protein_coding	432	580	936	598	387	562	335
ENSG00000115091	ACTR3	protein_coding	910	1033	1141	1238	1212	1381	1016
ENSG00000148154	UGCG	protein_coding	1587	1570	1524	1696	2121	2159	1989
